# x_m,y_m
-0.0501705,-1.1120690
-0.0548623,-1.1113249
-0.0583991,-1.1077909
-0.0619359,-1.1042569
-0.0654727,-1.1007228
-0.0690095,-1.0971888
-0.0725463,-1.0936548
-0.0760831,-1.0901207
-0.0796199,-1.0865867
-0.0831567,-1.0830527
-0.0866935,-1.0795186
-0.0902303,-1.0759846
-0.0937671,-1.0724506
-0.0973039,-1.0689165
-0.1008407,-1.0653825
-0.1043775,-1.0618485
-0.1079143,-1.0583144
-0.1114511,-1.0547804
-0.1149879,-1.0512464
-0.1185247,-1.0477123
-0.1220616,-1.0441783
-0.1255984,-1.0406443
-0.1291352,-1.0371102
-0.1294118,-1.0322250
-0.1328825,-1.0286636
-0.1364193,-1.0251296
-0.1399561,-1.0215956
-0.1434929,-1.0180615
-0.1470297,-1.0145275
-0.1482353,-1.0100273
-0.1507771,-1.0060809
-0.1543139,-1.0025469
-0.1578507,-0.9990128
-0.1613875,-0.9954788
-0.1623529,-0.9908791
-0.1651348,-0.9870322
-0.1686716,-0.9834982
-0.1722084,-0.9799641
-0.1757453,-0.9764301
-0.1764706,-0.9717309
-0.1794926,-0.9679835
-0.1830294,-0.9644495
-0.1858824,-0.9606320
-0.1867768,-0.9560028
-0.1903136,-0.9524688
-0.1938504,-0.9489348
-0.1973872,-0.9454008
-0.2009240,-0.9418667
-0.2044608,-0.9383327
-0.2079976,-0.9347987
-0.2115344,-0.9312646
-0.2150712,-0.9277306
-0.2186080,-0.9241966
-0.2221448,-0.9206625
-0.2256816,-0.9171285
-0.2292184,-0.9135945
-0.2327552,-0.9100604
-0.2362920,-0.9065264
-0.2398288,-0.9029924
-0.2433656,-0.8994583
-0.2469024,-0.8959243
-0.2504392,-0.8923903
-0.2539760,-0.8888562
-0.2575128,-0.8853222
-0.2610496,-0.8817882
-0.2645864,-0.8782541
-0.2681232,-0.8747201
-0.2716600,-0.8711861
-0.2751969,-0.8676520
-0.2801107,-0.8674443
-0.2836475,-0.8639102
-0.2871843,-0.8603762
-0.2912627,-0.8581505
-0.2956349,-0.8566344
-0.2993157,-0.8534483
-0.3040855,-0.8528926
-0.3076223,-0.8493586
-0.3111591,-0.8458245
-0.3154218,-0.8440439
-0.3196098,-0.8420827
-0.3234749,-0.8393417
-0.3280604,-0.8383409
-0.3315972,-0.8348069
-0.3365110,-0.8345991
-0.3400478,-0.8310651
-0.3445808,-0.8299373
-0.3484984,-0.8273233
-0.3526338,-0.8252351
-0.3576336,-0.8252351
-0.3618629,-0.8233737
-0.3656867,-0.8205329
-0.3703135,-0.8196319
-0.3738503,-0.8160978
-0.3787396,-0.8158307
-0.3836780,-0.8156823
-0.3872148,-0.8121483
-0.3917924,-0.8111285
-0.3967923,-0.8111285
-0.4017921,-0.8111285
-0.4054930,-0.8079909
-0.4098451,-0.8064263
-0.4148450,-0.8064263
-0.4198448,-0.8064263
-0.4237713,-0.8038335
-0.4278979,-0.8017241
-0.4328977,-0.8017241
-0.4378975,-0.8017241
-0.4428974,-0.8017241
-0.4469634,-0.7994684
-0.4509504,-0.7970219
-0.4559502,-0.7970219
-0.4609501,-0.7970219
-0.4659499,-0.7970219
-0.4709498,-0.7970219
-0.4750693,-0.7948955
-0.4790028,-0.7923197
-0.4840026,-0.7923197
-0.4890025,-0.7923197
-0.4940023,-0.7923197
-0.4990021,-0.7923197
-0.5040020,-0.7923197
-0.5090018,-0.7923197
-0.5140016,-0.7923197
-0.5190015,-0.7923197
-0.5240013,-0.7923197
-0.5290012,-0.7923197
-0.5340010,-0.7923197
-0.5390008,-0.7923197
-0.5440007,-0.7923197
-0.5490005,-0.7923197
-0.5536904,-0.7930684
-0.5572272,-0.7966024
-0.5620534,-0.7970219
-0.5670532,-0.7970219
-0.5720530,-0.7970219
-0.5770529,-0.7970219
-0.5817963,-0.7976413
-0.5853331,-0.8011753
-0.5901058,-0.8017241
-0.5951056,-0.8017241
-0.6001054,-0.8017241
-0.6051053,-0.8017241
-0.6099022,-0.8022142
-0.6134390,-0.8057482
-0.6181581,-0.8064263
-0.6231580,-0.8064263
-0.6281578,-0.8064263
-0.6317173,-0.8099056
-0.6362109,-0.8111285
-0.6412107,-0.8111285
-0.6450817,-0.8138552
-0.6492637,-0.8158307
-0.6542636,-0.8158307
-0.6592634,-0.8158307
-0.6633600,-0.8180125
-0.6673164,-0.8205329
-0.6718106,-0.8217544
-0.6753695,-0.8252351
-0.6803693,-0.8252351
-0.6851751,-0.8257039
-0.6887119,-0.8292380
-0.6934222,-0.8299373
-0.6971625,-0.8329798
-0.7014752,-0.8346395
-0.7056131,-0.8367216
-0.7095283,-0.8393417
-0.7140638,-0.8404634
-0.7176006,-0.8439974
-0.7225144,-0.8442052
-0.7260512,-0.8477392
-0.7306342,-0.8487461
-0.7345018,-0.8514810
-0.7380386,-0.8550151
-0.7417404,-0.8581505
-0.7464892,-0.8587569
-0.7500260,-0.8622909
-0.7547933,-0.8628527
-0.7584767,-0.8660327
-0.7620135,-0.8695667
-0.7655503,-0.8731008
-0.7690871,-0.8766348
-0.7739526,-0.8769592
-0.7775377,-0.8803766
-0.7810745,-0.8839106
-0.7846113,-0.8874447
-0.7881481,-0.8909787
-0.7916849,-0.8945127
-0.7952217,-0.8980468
-0.7987585,-0.9015808
-0.8022953,-0.9051148
-0.8058321,-0.9086489
-0.8093689,-0.9121829
-0.8129057,-0.9157169
-0.8164425,-0.9192510
-0.8199793,-0.9227850
-0.8235161,-0.9263190
-0.8270529,-0.9298531
-0.8305898,-0.9333871
-0.8341266,-0.9369211
-0.8376634,-0.9404552
-0.8412002,-0.9439892
-0.8447370,-0.9475232
-0.8482738,-0.9510573
-0.8518106,-0.9545913
-0.8553474,-0.9581253
-0.8588842,-0.9616594
-0.8624210,-0.9651934
-0.8635294,-0.9697338
-0.8661683,-0.9736400
-0.8697051,-0.9771740
-0.8732419,-0.9807081
-0.8767787,-0.9842421
-0.8776471,-0.9888821
-0.8805261,-0.9926887
-0.8840629,-0.9962227
-0.8875997,-0.9997568
-0.8911365,-1.0032908
-0.8917647,-1.0080303
-0.8948839,-1.0117374
-0.8984207,-1.0152714
-0.9019575,-1.0188055
-0.9054943,-1.0223395
-0.9058824,-1.0271785
-0.9092416,-1.0307861
-0.9127784,-1.0343201
-0.9163152,-1.0378542
-0.9198520,-1.0413882
-0.9233888,-1.0449222
-0.9269256,-1.0484563
-0.9304624,-1.0519903
-0.9339992,-1.0555243
-0.9375361,-1.0590584
-0.9410729,-1.0625924
-0.9450565,-1.0650470
-0.9495235,-1.0663342
-0.9530603,-1.0698682
-0.9565971,-1.0734023
-0.9601339,-1.0769363
-0.9636707,-1.0804703
-0.9672690,-1.0838558
-0.9721213,-1.0842121
-0.9756581,-1.0877462
-0.9791949,-1.0912802
-0.9827317,-1.0948142
-0.9864283,-1.0979624
-0.9911824,-1.0985560
-0.9947192,-1.1020901
-0.9994812,-1.1026646
-1.0031698,-1.1058319
-1.0067066,-1.1093659
-1.0105874,-1.1120690
-1.0151572,-1.1131077
-1.0186940,-1.1166417
-1.0222308,-1.1201758
-1.0266935,-1.1214734
-1.0316933,-1.1214734
-1.0355953,-1.1241254
-1.0391321,-1.1276594
-1.0427996,-1.1308777
-1.0475827,-1.1314012
-1.0511195,-1.1349352
-1.0558524,-1.1355799
